Quyết định số 3500/QĐ-BYT ngày 19/11/2024 về việc điều chỉnh giá dịch vụ khám bệnh, chữa bệnh áp dụng tại Bệnh viện Nhi Trung ương.
Phụ lục III
GIÁ DỊCH VỤ KỸ THUẬT VÀ XÉT NGHIỆM
(Ban hành kèm theo Quyết định số 3500/QĐ-BYT ngày 19/11/2024 của Bộ Y tế)
Đơn vị tính: đồng
| STT | Mã tương đương | Tên kỹ thuật - TT 23/2024 | Tên dịch vụ giá (tên KT theo TT 23/2024) | Mức giá | Ghi chú |
| 4928 | 03.2091.0983 | Phẫu thuật tai trong/u dây thần kinh VII/u dây thần kinh VIII | Phẫu thuật tai trong/u dây thần kinh VII/u dây thần kinh VIII | 6.572.800 |  |
| 4929 | 10.0099.0983 | Phẫu thuật u góc cầu tiêu não và/hay lỗ tai trong bằng đường dưới chẩm-sau xoang sigma | Phẫu thuật u góc cầu tiêu não và/hay lỗ tai trong bằng đường dưới chẩm-sau xoang sigma | 6.572.800 |  |
| 4930 | 15.0009.0983 | Phẫu thuật cắt u dây thần kinh VII | Phẫu thuật cắt u dây thần kinh VII | 6.572.800 |  |
| 4931 | 15.0012.0983 | Phẫu thuật cắt u dây thần kinh VIII | Phẫu thuật cắt u dây thần kinh VIII | 6.572.800 |  |
| 4932 | 15.0006.0983 | Phẫu thuật điều trị rò mề nhĩ | Phẫu thuật điều trị rò mề nhĩ | 6.572.800 |  |
| 4933 | 15.0039.0983 | Phẫu thuật lấy u thần kinh thính giác đường xuyên mề nhĩ | Phẫu thuật lấy u thần kinh thính giác đường xuyên mề nhĩ | 6.572.800 |  |
| 4934 | 03.2112.0984 | Chỉnh hình tai giữa | Chỉnh hình tai giữa | 5.530.000 |  |
| 4935 | 03.2087.0984 | Phẫu thuật tạo hình tai giữa, tai ngoài do dị tật bẩm sinh | Phẫu thuật tạo hình tai giữa, tai ngoài do dị tật bẩm sinh | 5.530.000 |  |
| 4936 | 15.0037.0984 | Phẫu thuật chỉnh hình tai giữa type I, II, III, IV | Phẫu thuật chỉnh hình tai giữa type I, II, III, IV | 5.530.000 |  |
| 4937 | 15.0030.0984 | Phẫu thuật tạo hình tai giữa | Phẫu thuật tạo hình tai giữa | 5.530.000 |  |
| 4938 | 15.0291.0985 | Phẫu thuật rò sống mũi | Phẫu thuật rò sống mũi | 7.715.300 |  |
| 4939 | 15.0322.0985 | Phẫu thuật tạo hình chít hẹp cửa mũi trước | Phẫu thuật tạo hình chít hẹp cửa mũi trước | 7.715.300 |  |
| 4940 | 15.0323.0985 | Phẫu thuật tạo hình chít hẹp/tịt cửa mũi sau | Phẫu thuật tạo hình chít hẹp/tịt cửa mũi sau | 7.715.300 |  |
| 4941 | 15.0320.0985 | Phẫu thuật tạo hình tháp mũi bằng vật liệu ghép tự thân | Phẫu thuật tạo hình tháp mũi bằng vật liệu ghép tự thân | 7.715.300 |  |
| 4942 | 15.0330.0985 | Phẫu thuật tạo hình vùng mặt thiểu sản | Phẫu thuật tạo hình vùng mặt thiểu sản | 7.715.300 |  |
| 4943 | 03.2078.0986 | Cấy điện cực ốc tai | Cấy điện cực ốc tai | 5.530.000 |  |
| 4944 | 15.0001.0986 | Cấy điện cực ốc tai (cấy ốc tai điện từ) | Cấy điện cực ốc tai (cấy ốc tai điện từ) | 5.530.000 |  |
| 4945 | 03.2100.0987 | Phẫu thuật tai xương chũm trong viêm màng não | Phẫu thuật tai xương chũm trong viêm màng não | 5.537.100 |  |
| 4946 | 03.2101.0987 | Phẫu thuật tai xương chũm trong viêm tắc tĩnh mạch bên | Phẫu thuật tai xương chũm trong viêm tắc tĩnh mạch bên | 5.537.100 |  |
| 4947 | 03.2102.0987 | Phẫu thuật tiệt căn xương chũm | Phẫu thuật tiệt căn xương chũm | 5.537.100 |  |
| 4948 | 03.2093.0987 | Phẫu thuật tiệt căn xương chũm cài biên - chỉnh hình tai giữa | Phẫu thuật tiệt căn xương chũm cài biên - chỉnh hình tai giữa | 5.537.100 |  |
| 4949 | 15.0023.0987 | Phẫu thuật tiệt căn xương chũm cài biên | Phẫu thuật tiệt căn xương chũm cài biên | 5.537.100 |  |
| 4950 | 15.0203.0988 | Nội soi cầm máu sau phẫu thuật vùng hạ họng, thanh quản | Nội soi cầm máu sau phẫu thuật vùng hạ họng, thanh quản | 3.045.800 |  |
| 4951 | 15.0299.0988 | Phẫu thuật mở lại hốc mổ cầm máu sau phẫu thuật vùng đầu cỏ | Phẫu thuật mở lại hốc mổ cầm máu sau phẫu thuật vùng đầu cỏ | 3.045.800 |  |
| 4952 | 15.0152.0988 | Phẫu thuật xử trí chảy máu sau cắt Amidan (gây mê) | Phẫu thuật xử trí chảy máu sau cắt Amidan (gây mê) | 3.045.800 |  |
| 4953 | 12.0165.0989 | Súc rửa vòm họng trong xa trị | Súc rửa vòm họng trong xa trị | 34.500 |  |
| 4954 | 03.0998.0990 | Nội soi thanh quản ống mềm không sinh thiết | Nội soi thanh quản ống mềm không sinh thiết | 245.500 |  |
| 4955 | 20.0010.0990 | Nội soi thanh quản ống mềm chẩn đoán | Nội soi thanh quản ống mềm chẩn đoán | 245.500 |  |
| 4956 | 03.2116.0992 | Thông vòi nhĩ | Thông vòi nhĩ | 98.300 |  |
| 4957 | 15.0052.0993 | Bơm hơi vòi nhĩ | Bơm hơi vòi nhĩ | 126.500 |  |
| 4958 | 03.2121.0994 | Trích rạch màng nhĩ | Trích rạch màng nhĩ | 69.300 |  |
| 4959 | 03.2181.0995 | Trích áp xe quanh Amidan | Trích áp xe quanh Amidan | 771.900 |  |
| 4960 | 03.2175.0996 | Trích áp xe thành sau họng | Trích áp xe thành sau họng | 771.900 |  |
| 4961 | 15.0209.0996 | Cắt phanh lưỡi | Cắt phanh lưỡi [gây mê] | 771.900 |  |
| 4962 | 15.0223.0996 | Chích áp xe thành sau họng gây tê/gây mê | Chích áp xe thành sau họng gây tê/gây mê | 771.900 |  |
| 4963 | 15.0206.0996 | Trích áp xe sàn miệng | Trích áp xe sàn miệng | 771.900 |  |
| 4964 | 03.2104.0997 | Vá nhĩ đơn thuần | Vá nhĩ đơn thuần | 4.058.900 | Đã bao gồm chi phí mũi khoan |
| 4965 | 15.0032.0997 | Chỉnh hình tai giữa không tái tạo chuỗi xương con | Chỉnh hình tai giữa không tái tạo chuỗi xương con | 4.058.900 | Đã bao gồm chi phí mũi khoan |
| 4966 | 15.0082.0998 | Phẫu thuật cắt polyp mũi bằng laser | Phẫu thuật cắt polyp mũi bằng laser | 3.391.900 |  |
| 4967 | 15.0393.0998 | Phẫu thuật nội soi đóng lỗ rò xoang lê bằng laser/nhiệt | Phẫu thuật nội soi đóng lỗ rò xoang lê bằng laser/nhiệt | 3.391.900 |  |
| 4968 | 15.0187.0998 | Phẫu thuật trong mềmu sụn thanh quản | Phẫu thuật trong mềmu sụn thanh quản | 3.391.900 |  |
| 4969 | 15.0259.0999 | Phẫu thuật chấn thương mạch máu vùng cổ | Phẫu thuật chấn thương mạch máu vùng cổ | 3.963.300 |  |
| 4970 | 15.0066.0999 | Phẫu thuật nội soi thắt động mạch hàm trong | Phẫu thuật nội soi thắt động mạch hàm trong | 3.963.300 |  |
| 4971 | 15.0351.0999 | Phẫu thuật tạo hình toàn bộ vành tai bằng vật liệu ghép tự thân | Phẫu thuật tạo hình toàn bộ vành tai bằng vật liệu ghép tự thân | 3.963.300 |  |
| 4972 | 15.0352.0999 | Phẫu thuật tạo hình vành tai bằng sụn sườn | Phẫu thuật tạo hình vành tai bằng sụn sườn | 3.963.300 |  |
| 4973 | 15.0262.0999 | Phẫu thuật vùng chân bướm hàm | Phẫu thuật vùng chân bướm hàm | 3.963.300 |  |
| 4974 | 15.0002.1000 | Phẫu thuật cấy máy trợ thính đường xương | Phẫu thuật cấy máy trợ thính đường xương | 2.333.000 | Chưa bao gồm máy trợ thính đường xương. |
| 4975 | 15.0163.1000 | Phẫu thuật chỉnh hình thanh quản điều trị liệt dây thanh | Phẫu thuật chỉnh hình thanh quản điều trị liệt dây thanh | 2.333.000 |  |
| 4976 | 15.0164.1000 | Phẫu thuật điều trị liệt cơ mở thanh quản hai bên | Phẫu thuật điều trị liệt cơ mở thanh quản hai bên | 2.333.000 |  |
| 4977 | 15.0175.1000 | Phẫu thuật mổ khí quản thể khó (trẻ sơ sinh, sau xạ trị, u vùng cổ, K tuyến giáp,...) | Phẫu thuật mổ khí quản thể khó (trẻ sơ sinh, sau xạ trị, u vùng cổ, K tuyến giáp,...) | 2.333.000 |  |
| 4978 | 15.0176.1000 | Phẫu thuật nội soi cắt u khí quản ống cứng gây tê/gây mê | Phẫu thuật nội soi cắt u khí quản ống cứng gây tê/gây mê [gây tê] | 2.333.000 |  |
| 4979 | 15.0178.1000 | Phẫu thuật nội soi cắt u phê quản ống cứng gây tê/gây mê | Phẫu thuật nội soi cắt u phê quản ống cứng gây tê/gây mê [gây tê] | 2.333.000 |  |
| 4980 | 15.0354.1000 | Phẫu thuật tạo hình khuyết bộ phận vành tai bằng vật liệu ghép tự thân/vật liệu ghép tổng hợp | Phẫu thuật tạo hình khuyết bộ phận vành tai bằng vật liệu ghép tự thân/vật liệu ghép tổng hợp | 2.333.000 |  |
| 4981 | 15.0353.1000 | Phẫu thuật tạo hình toàn bộ vành tai bằng vật liệu ghép tổng hợp | Phẫu thuật tạo hình toàn bộ vành tai bằng vật liệu ghép tổng hợp | 2.333.000 |  |
| 4982 | 15.0257.1000 | Phẫu thuật thắt động mạch cảnh ngoài | Phẫu thuật thắt động mạch cảnh ngoài | 2.333.000 |  |
| 4983 | 15.0165.1000 | Phẫu thuật treo sụn phễu | Phẫu thuật treo sụn phễu | 2.333.000 |  |
| 4984 | 15.0086.1001 | Phẫu thuật cắt u nang răng sinh, u nang sàn mũi | Phẫu thuật cắt u nang răng sinh, u nang sàn mũi | 1.646.800 |  |
| 4985 | 15.0194.1001 | Phẫu thuật cắt u sàn miệng | Phẫu thuật cắt u sàn miệng | 1.646.800 |  |
| 4986 | 15.0355.1001 | Phẫu thuật chỉnh hình thu nhỏ vành tai | Phẫu thuật chỉnh hình thu nhỏ vành tai | 1.646.800 |  |
| 4987 | 15.0356.1001 | Phẫu thuật chỉnh hình vành tai cup | Phẫu thuật chỉnh hình vành tai cup | 1.646.800 |  |
| 4988 | 15.0357.1001 | Phẫu thuật chỉnh hình vành tai vùi | Phẫu thuật chỉnh hình vành tai vùi | 1.646.800 |  |
| 4989 | 15.0069.1001 | Phẫu thuật dẫn lưu áp xe ở mắt | Phẫu thuật dẫn lưu áp xe ở mắt | 1.646.800 |  |
| 4990 | 15.0033.1001 | Phẫu thuật mở hòm nhĩ kiểm tra/lấy tổn thương, lấy dị vật | Phẫu thuật mở hòm nhĩ kiểm tra/lấy tổn thương, lấy dị vật | 1.646.800 |  |
| 4991 | 15.0117.1001 | Phẫu thuật mở xoang hàm | Phẫu thuật mở xoang hàm | 1.646.800 |  |
| 4992 | 15.0126.1001 | Phẫu thuật nội soi dẫn lưu túi lệ | Phẫu thuật nội soi dẫn lưu túi lệ | 1.646.800 |  |
| 4993 | 15.0099.1001 | Phẫu thuật nội soi tách đỉnh niêm mạc hốc mũi | Phẫu thuật nội soi tách đỉnh niêm mạc hốc mũi | 1.646.800 |  |
| 4994 | 15.0100.1001 | Phẫu thuật nội soi tách đỉnh niêm mạc hốc mũi bằng laser | Phẫu thuật nội soi tách đỉnh niêm mạc hốc mũi bằng laser | 1.646.800 |  |
| 4995 | 15.0067.1001 | Phẫu thuật thắt động mạch sàng | Phẫu thuật thắt động mạch sàng | 1.646.800 |  |
| 4996 | 15.0125.1001 | Phẫu thuật xoang hàm Caldwell-Luc | Phẫu thuật xoang hàm Caldwell-Luc | 1.646.800 |  |
| 4997 | 15.0214.1002 | Khâu phục hồi tổn thương đơn giản miệng, họng | Khâu phục hồi tổn thương đơn giản miệng, họng | 1.075.700 |  |
| 4998 | 15.0224.1002 | Phẫu thuật chỉnh hình lỗ mờ khí quản | Phẫu thuật chỉnh hình lỗ mờ khí quản | 1.075.700 |  |
| 4999 | 15.0127.1002 | Phẫu thuật mở lỗ thông mũi xoang qua khe dưới | Phẫu thuật mở lỗ thông mũi xoang qua khe dưới | 1.075.700 |  |
| 5000 | 15.0053.1002 | Phẫu thuật nạo vét sụn vành tai | Phẫu thuật nạo vét sụn vành tai | 1.075.700 |  |
| 5001 | 15.0158.1002 | Phẫu thuật nội soi cầm máu sau nạo VA (gây mê) | Phẫu thuật nội soi cầm máu sau nạo VA (gây mê) | 1.075.700 |  |
| 5002 | 15.0128.1002 | Phẫu thuật nội soi mở lỗ thông mũi xoang qua khe dưới | Phẫu thuật nội soi mở lỗ thông mũi xoang qua khe dưới | 1.075.700 |  |
| 5003 | 15.0244.1003 | Nội soi khí quản ống cứng chẩn đoán gây tê/gây mê | Nội soi khí quản ống cứng chẩn đoán gây tê/gây mê | 943.600 |  |
| 5004 | 15.0246.1003 | Nội soi khí quản ống cứng lấy dị vật gây tê/gây mê | Nội soi khí quản ống cứng lấy dị vật gây tê/gây mê | 943.600 |  |
| 5005 | 15.0248.1003 | Nội soi khí quản ống cứng sinh thiết u gây tê/gây mê | Nội soi khí quản ống cứng sinh thiết u gây tê/gây mê | 943.600 |  |
| 5006 | 15.0245.1003 | Nội soi khí quản ống mềm chẩn đoán gây tê | Nội soi khí quản ống mềm chẩn đoán gây tê | 943.600 |  |
| 5007 | 15.0247.1003 | Nội soi khí quản ống mềm lấy dị vật gây tê | Nội soi khí quản ống mềm lấy dị vật gây tê | 943.600 |  |
| 5008 | 15.0249.1003 | Nội soi khí quản ống mềm sinh thiết u gây tê | Nội soi khí quản ống mềm sinh thiết u gây tê | 943.600 |  |
| 5009 | 15.0241.1003 | Nội soi thanh quản ống mềm lấy dị vật gây tê | Nội soi thanh quản ống mềm lấy dị vật gây tê | 943.600 |  |
| 5010 | 15.0238.1004 | Nội soi thanh quản ống cứng chẩn đoán gây tê | Nội soi thanh quản ống cứng chẩn đoán gây tê | 549.900 |  |
| 5011 | 15.0242.1004 | Nội soi thanh quản ống cứng sinh thiết u gây tê/gây mê | Nội soi thanh quản ống cứng sinh thiết u gây tê/gây mê | 549.900 |  |
| 5012 | 15.0239.1004 | Nội soi thanh quản ống mềm chẩn đoán gây tê | Nội soi thanh quản ống mềm chẩn đoán gây tê | 549.900 |  |
| 5013 | 03.0995.1005 | Nội soi thanh quản treo cắt hạt xơ | Nội soi thanh quản treo cắt hạt xơ | 321.400 |  |
| 5014 | 15.0226.1005 | Nội soi hạ họng ống cứng chẩn đoán gây tê | Nội soi hạ họng ống cứng chẩn đoán gây tê | 321.400 |  |
| 5015 | 15.0227.1005 | Nội soi hạ họng ống mềm chẩn đoán gây tê | Nội soi hạ họng ống mềm chẩn đoán gây tê | 321.400 |  |
| 5016 | 15.0136.1005 | Nội soi sinh thiết u hốc mũi | Nội soi sinh thiết u hốc mũi | 321.400 |  |
| 5017 | 15.0147.1006 | Hút rửa mũi, xoang sau mồ | Hút rửa mũi, xoang sau mồ | 153.600 |  |
| 5018 | 03.1918.1007 | Cắt lợi trùm răng khôn hàm dưới | Cắt lợi trùm răng khôn hàm dưới | 178.900 |  |
| 5019 | 03.2072.1009 | Cố định tạm thời sô cứu gây xương hàm | Cố định tạm thời sô cứu gây xương hàm | 414.400 |  |
| 5020 | 03.1942.1010 | Điều trị răng sữa viêm tùy có hồi phục | Điều trị răng sữa viêm tùy có hồi phục | 380.100 |  |
| 5021 | 03.1853.1011 | Điều trị tùy lại | Điều trị tùy lại | 987.500 |  |
| 5022 | 03.1730.1012 | Điều trị tùy răng có sử dụng kính hiên vi và hàn kín hệ thống ống tùy bằng Gutta percha nguội | Điều trị tùy răng có sử dụng kính hiên vi và hàn kín hệ thống ống tùy bằng Gutta percha nguội [răng số 4,5] | 631.000 |  |
| 5023 | 03.1728.1012 | Điều trị tủy răng có sử dụng laser và hàn kín hệ thống ống tủy bằng Gutta percha ngưới | Điều trị tủy răng có sử dụng laser và hàn kín hệ thống ống tủy bằng Gutta percha ngưới [răng số 4, 5] | 631.000 |  |
| 5024 | 03.1729.1012 | Điều trị tủy răng có sử dụng laser và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy | Điều trị tủy răng có sử dụng laser và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy [răng số 4, 5] | 631.000 |  |
| 5025 | 03.1726.1012 | Điều trị tủy răng có sử dụng siêu âm và hàn kín hệ thống ống tủy bằng Gutta percha ngưới | Điều trị tủy răng có sử dụng siêu âm và hàn kín hệ thống ống tủy bằng Gutta percha ngưới [răng số 4, 5] | 631.000 |  |
| 5026 | 03.1727.1012 | Điều trị tủy răng có sử dụng siêu âm và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy | Điều trị tủy răng có sử dụng siêu âm và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy [răng số 4, 5] | 631.000 |  |
| 5027 | 03.1848.1012 | Điều trị tủy răng và hàn kín hệ thống ống tủy bằng Gutta percha có sử dụng trâm xoay máy | Điều trị tủy răng và hàn kín hệ thống ống tủy bằng Gutta percha có sử dụng trâm xoay máy [ răng số 4, 5] | 631.000 |  |
| 5028 | 03.1859.1012 | Điều trị tủy răng và hàn kín hệ thống ống tủy bằng Gutta percha ngưới có sử dụng châm xoay cầm tay | Điều trị tủy răng và hàn kín hệ thống ống tủy bằng Gutta percha ngưới có sử dụng châm xoay cầm tay [răng số 4, 5] | 631.000 |  |
| 5029 | 03.1846.1012 | Điều trị tủy răng và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy | Điều trị tủy răng và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy [răng số 4, 5] | 631.000 |  |
| 5030 | 03.1849.1012 | Điều trị tủy răng và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy có sử dụng trâm xoay cầm tay | Điều trị tủy răng và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy có sử dụng trâm xoay cầm tay [răng số 4, 5] | 631.000 |  |
| 5031 | 03.1850.1012 | Điều trị tủy răng và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy có sử dụng trâm xoay máy | Điều trị tủy răng và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy có sử dụng trâm xoay máy [răng số 4, 5] | 631.000 |  |
| 5032 | 16.0049.1012 | Điều trị tủy răng có sử dụng kính hiển vi và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy | Điều trị tủy răng có sử dụng kính hiển vi và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy [răng số 4, 5] | 631.000 |  |
| 5033 | 16.0050.1012 | Điều trị tủy răng và hàn kín hệ thống ống tủy bằng Gutta percha ngưới | Điều trị tủy răng và hàn kín hệ thống ống tủy bằng Gutta percha ngưới [răng số 4, 5] | 631.000 |  |
| 5034 | 16.0052.1012 | Điều trị tùy răng và hàn kín hệ thống ống tùy bằng Gutta percha ngưới có sử dụng trám xoay cầm tay | Điều trị tùy răng và hàn kín hệ thống ống tùy bằng Gutta percha ngưới có sử dụng trám xoay cầm tay [răng số 4,5] | 631.000 |  |
| 5035 | 16.0054.1012 | Điều trị tùy răng và hàn kín hệ thống ống tùy bằng Gutta percha ngưới có sử dụng trám xoay máy | Điều trị tùy răng và hàn kín hệ thống ống tùy bằng Gutta percha ngưới có sử dụng trám xoay máy [răng số 4, 5] | 631.000 |  |
| 5036 | 03.1730.1013 | Điều trị tùy răng có sử dụng kính hiển vi và hàn kín hệ thống ống tùy bằng Gutta percha ngưới | Điều trị tùy răng có sử dụng kính hiển vi và hàn kín hệ thống ống tùy bằng Gutta percha ngưới [răng số 6,7 hàm dưới] | 861.000 |  |
| 5037 | 03.1728.1013 | Điều trị tùy răng có sử dụng laser và hàn kín hệ thống ống tùy bằng Gutta percha ngưới | Điều trị tùy răng có sử dụng laser và hàn kín hệ thống ống tùy bằng Gutta percha ngưới [răng số 6, 7 hàm dưới] | 861.000 |  |
| 5038 | 03.1729.1013 | Điều trị tùy răng có sử dụng laser và hàn kín hệ thống ống tùy bằng Gutta percha nóng chảy | Điều trị tùy răng có sử dụng laser và hàn kín hệ thống ống tùy bằng Gutta percha nóng chảy [số 6, 7 hàm dưới] | 861.000 |  |
| 5039 | 03.1726.1013 | Điều trị tùy răng có sử dụng siêu âm và hàn kín hệ thống ống tùy bằng Gutta percha ngưới | Điều trị tùy răng có sử dụng siêu âm và hàn kín hệ thống ống tùy bằng Gutta percha ngưới [răng số 6, 7 hàm dưới] | 861.000 |  |
| 5040 | 03.1727.1013 | Điều trị tùy răng có sử dụng siêu âm và hàn kín hệ thống ống tùy bằng Gutta percha nóng chảy | Điều trị tùy răng có sử dụng siêu âm và hàn kín hệ thống ống tùy bằng Gutta percha nóng chảy [răng số 6, 7 hàm dưới] | 861.000 |  |
| 5041 | 03.1848.1013 | Điều trị tùy răng và hàn kín hệ thống ống tùy bằng Gutta percha có sử dụng trám xoay máy | Điều trị tùy răng và hàn kín hệ thống ống tùy bằng Gutta percha có sử dụng trám xoay máy [răng số 6,7 hàm dưới] | 861.000 |  |
| 5042 | 03.1858.1013 | Điều trị tùy răng và hàn kín hệ thống ống tùy bằng Gutta percha ngưới | Điều trị tùy răng và hàn kín hệ thống ống tùy bằng Gutta percha ngưới [răng số 6,7 hàm dưới] | 861.000 |  |
| 5043 | 03.1859.1013 | Điều trị tùy răng và hàn kín hệ thống ống tùy bằng Gutta percha ngưới có sử dụng châm xoay cầm tay | Điều trị tùy răng và hàn kín hệ thống ống tùy bằng Gutta percha ngưới có sử dụng châm xoay cầm tay [răng số 6,7 hàm dưới] | 861.000 |  |
| 5044 | 03.1846.1013 | Điều trị tùy răng và hàn kín hệ thống ống tuỳ bằng Gutta percha nóng chảy | Điều trị tùy răng và hàn kín hệ thống ống tuỳ bằng Gutta percha nóng chảy [răng số 6,7 hàm dưới] | 861.000 |  |
| 5045 | 03.1849.1013 | Điều trị tùy răng và hàn kín hệ thống ống tuỳ bằng Gutta percha nóng chảy có sử dụng trâm xoay cầm tay | Điều trị tùy răng và hàn kín hệ thống ống tuỳ bằng Gutta percha nóng chảy có sử dụng trâm xoay cầm tay [răng số 6,7 hàm dưới] | 861.000 |  |
| 5046 | 03.1850.1013 | Điều trị tùy răng và hàn kín hệ thống ống tuỳ bằng Gutta percha nóng chảy có sử dụng trâm xoay máy | Điều trị tùy răng và hàn kín hệ thống ống tuỳ bằng Gutta percha nóng chảy có sử dụng trâm xoay máy [răng số 6,7 hàm dưới] | 861.000 |  |
| 5047 | 16.0048.1013 | Điều trị tùy răng có sử dụng kính hiển vi và hàn kín hệ thống ống tuỳ bằng Gutta percha nguội | Điều trị tùy răng có sử dụng kính hiển vi và hàn kín hệ thống ống tuỳ bằng Gutta percha nguội [răng số 6,7 hàm dưới] | 861.000 |  |
| 5048 | 16.0049.1013 | Điều trị tùy răng có sử dụng kính hiển vi và hàn kín hệ thống ống tuỳ bằng Gutta percha nóng chảy | Điều trị tùy răng có sử dụng kính hiển vi và hàn kín hệ thống ống tuỳ bằng Gutta percha nóng chảy [răng số 6,7 hàm dưới] | 861.000 |  |
| 5049 | 16.0047.1013 | Điều trị tùy răng có sử dụng laser và hàn kín hệ thống ống tuỳ bằng Gutta percha nóng chảy | Điều trị tùy răng có sử dụng laser và hàn kín hệ thống ống tuỳ bằng Gutta percha nóng chảy [răng số 6,7 hàm dưới] | 861.000 |  |
| 5050 | 16.0052.1013 | Điều trị tùy răng và hàn kín hệ thống ống tuỳ bằng Gutta percha nguội có sử dụng trâm xoay cầm tay | Điều trị tùy răng và hàn kín hệ thống ống tuỳ bằng Gutta percha nguội có sử dụng trâm xoay cầm tay [răng số 6,7 hàm dưới] | 861.000 |  |
| 5051 | 16.0054.1013 | Điều trị tùy răng và hàn kín hệ thống ống tuỳ bằng Gutta percha nguội có sử dụng trâm xoay máy | Điều trị tùy răng và hàn kín hệ thống ống tuỳ bằng Gutta percha nguội có sử dụng trâm xoay máy [răng số 6,7 hàm dưới] | 861.000 |  |
| 5052 | 03.1730.1014 | Điều trị tùy răng có sử dụng kính hiển vi và hàn kín hệ thống ống tuỳ bằng Gutta percha nguội | Điều trị tùy răng có sử dụng kính hiển vi và hàn kín hệ thống ống tuỳ bằng Gutta percha nguội răng số 1,2,3 | 455.500 |  |
| 5053 | 03.1728.1014 | Điều trị tùy răng có sử dụng laser và hàn kín hệ thống ống tủy bằng Gutta percha ngưới | Điều trị tùy răng có sử dụng laser và hàn kín hệ thống ống tủy bằng Gutta percha ngưới [răng số 1, 2, 3] | 455.500 |  |
| 5054 | 03.1729.1014 | Điều trị tùy răng có sử dụng laser và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy | Điều trị tùy răng có sử dụng laser và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy [răng số 1, 2, 3] | 455.500 |  |
| 5055 | 03.1726.1014 | Điều trị tùy răng có sử dụng siêu âm và hàn kín hệ thống ống tủy bằng Gutta percha ngưới | Điều trị tùy răng có sử dụng siêu âm và hàn kín hệ thống ống tủy bằng Gutta percha ngưới [răng số 1, 2, 3] | 455.500 |  |
| 5056 | 03.1727.1014 | Điều trị tùy răng có sử dụng siêu âm và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy | Điều trị tùy răng có sử dụng siêu âm và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy [răng số 1, 2, 3] | 455.500 |  |
| 5057 | 03.1848.1014 | Điều trị tùy răng và hàn kín hệ thống ống tủy bằng Gutta percha có sử dụng trâm xoay máy | Điều trị tùy răng và hàn kín hệ thống ống tủy bằng Gutta percha có sử dụng trâm xoay máy [răng số 1, 2, 3] | 455.500 |  |
| 5058 | 03.1858.1014 | Điều trị tùy răng và hàn kín hệ thống ống tủy bằng Gutta percha ngưới | Điều trị tùy răng và hàn kín hệ thống ống tủy bằng Gutta percha ngưới [răng số 1, 2, 3] | 455.500 |  |
| 5059 | 03.1859.1014 | Điều trị tùy răng và hàn kín hệ thống ống tủy bằng Gutta percha ngưới có sử dụng châm xoay cầm tay | Điều trị tùy răng và hàn kín hệ thống ống tủy bằng Gutta percha ngưới có sử dụng châm xoay cầm tay [răng số 1, 2, 3] | 455.500 |  |
| 5060 | 03.1846.1014 | Điều trị tùy răng và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy | Điều trị tùy răng và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy [răng số 1, 2, 3] | 455.500 |  |
| 5061 | 03.1849.1014 | Điều trị tùy răng và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy có sử dụng trâm xoay cầm tay | Điều trị tùy răng và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy có sử dụng trâm xoay cầm tay [răng số 1, 2, 3] | 455.500 |  |
| 5062 | 03.1850.1014 | Điều trị tùy răng và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy có sử dụng trâm xoay máy | Điều trị tùy răng và hàn kín hệ thống ống tủy bằng Gutta percha nóng chảy có sử dụng trâm xoay máy [răng số 1, 2, 3] | 455.500 |  |

Quyết định số 3500/QĐ-BYT ngày 19/11/2024 về việc điều chỉnh giá dịch vụ khám bệnh, chữa bệnh áp dụng tại Bệnh viện Nhi Trung ương.
Phụ lục III
GIÁ DỊCH VỤ KỸ THUẬT VÀ XÉT NGHIỆM
(Ban hành kèm theo Quyết định số 3500/QĐ-BYT ngày 19/11/2024 của Bộ Y tế)
Đơn vị tính: đồng
| STT | Mã tương đương | Tên kỹ thuật - TT 23/2024 | Tên dịch vụ giá (tên KT theo TT 23/2024) | Mức giá | Ghi chú |
| :--- | :--- | :--- | :--- | :--- | :--- |
